image_id,user,money,order_id,sim_arrival_time,sim_inter_arrival
Screenshot_2026-01-15-13-31-27-481_com.tencent.mm.jpg,Mp.W,0.06,5,5.194305676265881,1.177258157370259
Screenshot_2026-01-15-13-31-27-481_com.tencent.mm.jpg,凡,0.07,6,6.608200000814358,1.4138943245484774
Screenshot_2026-01-15-13-31-27-481_com.tencent.mm.jpg,Taka,0.02,7,8.518766918651481,1.9105669178371225
Screenshot_2026-01-15-13-31-27-481_com.tencent.mm.jpg,早睡早起,0.16,8,9.52340138188638,1.0046344632348985
Screenshot_2026-01-15-13-31-27-481_com.tencent.mm.jpg,Koala,0.14,9,10.132160688270893,0.6087593063845137
Screenshot_2026-01-15-13-31-27-481_com.tencent.mm.jpg,正电荷夸克,0.23,10,12.087586694629533,1.9554260063586393
Screenshot_2026-01-15-13-31-37-689_com.tencent.mm.jpg,刘思远,0.11,1,1.9259527403489098,1.9259527403489098
Screenshot_2026-01-15-13-31-37-689_com.tencent.mm.jpg,鲸落,0.17,2,3.2565241918217653,1.3305714514728553
Screenshot_2026-01-15-13-31-37-689_com.tencent.mm.jpg,Albert,0.02,3,4.75497318401512,1.4984489921933548
Screenshot_2026-01-15-13-31-37-689_com.tencent.mm.jpg,aMbZfcaYn,0.14,4,6.70412879390597,1.94915560989085
Screenshot_2026-01-15-13-31-37-689_com.tencent.mm.jpg,Mp.W,0.08,5,7.699905269760725,0.9957764758547546
Screenshot_2026-01-15-13-31-37-689_com.tencent.mm.jpg,凡,0.09,6,9.248986732105607,1.5490814623448816
Screenshot_2026-01-15-13-31-37-689_com.tencent.mm.jpg,Taka,0.15,7,10.167524923438414,0.9185381913328066
Screenshot_2026-01-15-13-31-37-689_com.tencent.mm.jpg,早睡早起,0.15,8,10.890345445176562,0.7228205217381479
Screenshot_2026-01-15-13-31-37-689_com.tencent.mm.jpg,Koala,0.05,9,11.842238689093545,0.9518932439169834
Screenshot_2026-01-15-13-31-37-689_com.tencent.mm.jpg,正电荷夸克,0.04,10,12.839360515760006,0.9971218266664618
Screenshot_2026-01-15-13-31-56-792_com.tencent.mm.jpg,Taka,0.18,1,0.5618645298484553,0.5618645298484553
Screenshot_2026-01-15-13-31-56-792_com.tencent.mm.jpg,刘思远,0.15,2,2.5431281622344626,1.9812636323860073
Screenshot_2026-01-15-13-31-56-792_com.tencent.mm.jpg,鲸落,0.11,3,3.3538686666375384,0.810740504403076
Screenshot_2026-01-15-13-31-56-792_com.tencent.mm.jpg,Albert,0.13,4,4.275972980641321,0.9221043140037832
Screenshot_2026-01-15-13-31-56-792_com.tencent.mm.jpg,aMbZfcaYn,0.11,5,5.174112410530911,0.8981394298895891
Screenshot_2026-01-15-13-31-56-792_com.tencent.mm.jpg,凡,0.04,6,6.208943239696909,1.034830829165998
Screenshot_2026-01-15-13-31-56-792_com.tencent.mm.jpg,Mp.W,0.05,7,7.012119779760517,0.803176540063608
Screenshot_2026-01-15-13-31-56-792_com.tencent.mm.jpg,早睡早起,0.07,8,8.918018333725751,1.9058985539652349
Screenshot_2026-01-15-13-31-56-792_com.tencent.mm.jpg,Koala,0.06,9,9.953193126111213,1.0351747923854608
Screenshot_2026-01-15-13-31-56-792_com.tencent.mm.jpg,正电荷夸克,0.1,10,11.210599312185101,1.2574061860738879
Screenshot_2026-01-15-13-32-01-588_com.tencent.mm.jpg,Taka,0.13,1,1.7720000219018317,1.7720000219018317
Screenshot_2026-01-15-13-32-01-588_com.tencent.mm.jpg,鲸落,0.16,2,2.459836129745838,0.6878361078440063
Screenshot_2026-01-15-13-32-01-588_com.tencent.mm.jpg,刘思远,0.1,3,4.070521401167553,1.6106852714217148
Screenshot_2026-01-15-13-32-01-588_com.tencent.mm.jpg,Albert,0.11,4,5.658428866087377,1.5879074649198235
Screenshot_2026-01-15-13-32-01-588_com.tencent.mm.jpg,aMbZfcaYn,0.07,5,7.238636329160362,1.580207463072985
Screenshot_2026-01-15-13-32-01-588_com.tencent.mm.jpg,早睡早起,0.02,6,9.155922738172373,1.9172864090120116
Screenshot_2026-01-15-13-32-01-588_com.tencent.mm.jpg,Mp.W,0.13,7,9.891180840237851,0.7352581020654776
Screenshot_2026-01-15-13-32-01-588_com.tencent.mm.jpg,凡,0.05,8,11.11673665397418,1.225555813736329
Screenshot_2026-01-15-13-32-01-588_com.tencent.mm.jpg,Koala,0.03,9,12.316337608324586,1.1996009543504065
Screenshot_2026-01-15-13-32-01-588_com.tencent.mm.jpg,正电荷夸克,0.2,10,13.18012899489865,0.8637913865740636
Screenshot_2026-01-15-13-32-18-422_com.tencent.mm.jpg,Taka,0.19,1,1.4022126136386301,1.4022126136386301
Screenshot_2026-01-15-13-32-18-422_com.tencent.mm.jpg,鲸落,0.09,2,1.9080470164396726,0.5058344028010424
Screenshot_2026-01-15-13-32-18-422_com.tencent.mm.jpg,Albert,0.17,3,3.649711896299512,1.741664879859839
Screenshot_2026-01-15-13-32-18-422_com.tencent.mm.jpg,刘思远,0.04,4,4.9708437387317135,1.3211318424322016
Screenshot_2026-01-15-13-32-18-422_com.tencent.mm.jpg,早睡早起,0.03,5,5.720419039235505,0.7495753005037913
Screenshot_2026-01-15-13-32-18-422_com.tencent.mm.jpg,aMbZfcaYn,0.03,6,7.317702622162868,1.5972835829273628
Screenshot_2026-01-15-13-32-18-422_com.tencent.mm.jpg,Mp.W,0.02,7,8.519999836390424,1.2022972142275568
Screenshot_2026-01-15-13-32-18-422_com.tencent.mm.jpg,凡,0.02,8,9.90435098219726,1.3843511458068363
Screenshot_2026-01-15-13-32-18-422_com.tencent.mm.jpg,Koala,0.23,9,11.4178909411389,1.5135399589416396
Screenshot_2026-01-15-13-32-18-422_com.tencent.mm.jpg,正电荷夸克,0.18,10,12.167590422064404,0.7496994809255029
Screenshot_2026-01-15-13-32-24-120_com.tencent.mm.jpg,Taka,0.16,1,0.77259616738151,0.77259616738151
Screenshot_2026-01-15-13-32-24-120_com.tencent.mm.jpg,鲸落,0.02,2,1.8698436987505116,1.0972475313690015
Screenshot_2026-01-15-13-32-24-120_com.tencent.mm.jpg,Albert,0.17,3,3.317661870002354,1.4478181712518423
Screenshot_2026-01-15-13-32-24-120_com.tencent.mm.jpg,刘思远,0.13,4,4.128465595650497,0.8108037256481435
Screenshot_2026-01-15-13-32-24-120_com.tencent.mm.jpg,早睡早起,0.03,5,5.712201526432662,1.5837359307821652
Screenshot_2026-01-15-13-32-24-120_com.tencent.mm.jpg,凡,0.13,6,7.328700197396622,1.6164986709639597
Screenshot_2026-01-15-13-32-24-120_com.tencent.mm.jpg,aMbZfcaYn,0.09,7,8.66909411468739,1.340393917290767
Screenshot_2026-01-15-13-32-24-120_com.tencent.mm.jpg,Mp.W,0.11,8,10.645825803559529,1.9767316888721398
Screenshot_2026-01-15-13-32-24-120_com.tencent.mm.jpg,Koala,0.06,9,11.350747845289757,0.7049220417302282
Screenshot_2026-01-15-13-32-24-120_com.tencent.mm.jpg,正电荷夸克,0.1,10,12.015269769614516,0.6645219243247589
Screenshot_2026-01-15-13-32-30-011_com.tencent.mm.jpg,aMbZfcaYn,0.11,1,0.8696518314313679,0.8696518314313679
Screenshot_2026-01-15-13-32-30-011_com.tencent.mm.jpg,Mp.W,0.12,2,2.714767138685813,1.845115307254445
Screenshot_2026-01-15-13-32-30-011_com.tencent.mm.jpg,鲸落,0.13,3,4.215895900388712,1.5011287617028983
Screenshot_2026-01-15-13-32-30-011_com.tencent.mm.jpg,Albert,0.1,4,5.376793612377293,1.1608977119885817
Screenshot_2026-01-15-13-32-30-011_com.tencent.mm.jpg,Taka,0.07,5,7.003444350857192,1.626650738479899
Screenshot_2026-01-15-13-32-30-011_com.tencent.mm.jpg,正电荷夸克,0.14,6,7.539328582679417,0.5358842318222249
Screenshot_2026-01-15-13-32-30-011_com.tencent.mm.jpg,凡,0.11,7,8.711852592348748,1.1725240096693312
Screenshot_2026-01-15-13-32-30-011_com.tencent.mm.jpg,Koala,0.07,8,9.711266454268403,0.9994138619196542
Screenshot_2026-01-15-13-32-30-011_com.tencent.mm.jpg,早睡早起,0.11,9,10.46263014971443,0.7513636954460275
Screenshot_2026-01-15-13-32-30-011_com.tencent.mm.jpg,刘思远,0.04,10,11.2720002557242,0.80937010600977
